Include,Interest,County,FileNoCounty,ParcelID,Date,NotesRob,NotesWard,Amount,LandAppraisedAsses,BuildingAppraisedAsses,TotalAppraisedValueAsses,Latitude,Longitude,AddressSite,ZipSite
yes,N,Fulton,0913 31614,14F-0016-0002-058-3,09/03/13,,OK LIED IN BRICK RANCH IN OK NEIGH,"$16,673",2500,9400,11900,,,3822 ADKINS RD,30331
yes,n,Fulton,0913 31584,14 -0106-0006-010-7,09/03/13,drove as one of two siding bungalows in rougher shape- prob not at this price,,"$16,137",7500,10200,17700,,,"993 allene avenue sw, of atlanta real estate company subdivision",30310
yes,p,Fulton,0913 31583,14 -0105-0011-023-4,09/03/13,drove as classic bungalow w/ some def maint in Capital View in trying to come along 2+/3minus hood,,"$17,129",7200,42200,49400,,,1429 allene avenue sw,30310
yes,p,Fulton,0913 31407,14 -0042-0003-006-5,09/03/13,drove as green siding box w/ def maint across from zoo- value in the lot,,"$9,825",41500,54300,95800,,,451 atlanta avenue se,30312
yes,,Fulton,0913 31576,14 -0051-0009-166-9,09/03/13,,,"$31,123",297000,13000,310000,,,250 AUBURN AVE 1,30303
yes,,Fulton,0913 31414,14 -0046-0010-223-3,09/03/13,,,"$28,696",317300,59100,376400,,,302 auburn avenue ne,30303
yes,N,Fulton,0913 31608,14 -0175-0013-011-2,09/03/13,,"OK MINUS HOUSE IN OK MINUS NEIGH, UNKEPT LOOKS EMPTY BUT CARS IN DRIEWAY","$18,472",12500,29300,41800,,,1999 baker road nw,30318
yes,n,Fulton,0913 31404,14 -0034-0002-010-8,09/03/13,area e. of 75,,"$4,217",6300,28300,34600,,,360 BELGARDE PL,30354
yes,N,Fulton,0913 31593,14 -0121-0008-051-0,09/03/13,drove as doghead farm collective- plat,,"$15,655",6100,9300,15400,,,1087 birch street sw,30310
yes,,Fulton,0913 31615,14F-0032-0002-078-1,09/03/13,,corner lot in ok neigh,"$11,437",9000,0,9000,,,BLANTON AVE,30331
yes,n,Fulton,0913 31602,14 -0151-0003-105-2,09/03/13,drove as classice brick bungalow w/ some def maint and roof in very bad shape- prob not at this price,,"$16,238",6200,21600,27800,,,938 cascade avenue sw,30310
yes,,Fulton,0913-31566,07-0800-0077-074-0,09/03/13,,,"$12,295",75200,0,75200,,,0 cascade palmetto hwy,30331
yes,p,Fulton,0913 31383,13 -0126-0003-060-3,09/03/13,drove as for brick and siding ranch in fair shape w/ some def maint; 2+/3- hood,,"$3,871",7300,19600,26900,,,455 CEDAR WOOD CT,30349
yes,N,Fulton,0913 31598,14 -0143-0005-005-3,09/03/13,,FAIRLY NEW 1 1/2 SIDEBOARD IN OK MINUSNEIGH,"$20,001",2900,33200,36100,,,506 CHAPPELL RD,30318
yes,,Fulton,0913 31597,14 -0141-0010-021-5,09/03/13,,OK KEPT OCCUPIED BRICK RANCH ON OK STREET,"$16,618",7400,19800,27200,,,267 chicamauga avenue sw,30314
yes,,Fulton,0913-31565,07-0300-0082-130-8,09/03/13,drive 8/30,,"$17,809",128100,0,128100,,,0 clark rd,30213
yes,n,Fulton,0913 31405,14 -0035-0003-063-5,09/03/13,area e. of 75,,$459,5700,23400,29100,,,391 CORVAIR DR,30354
yes,n,Fulton,0913 31579,14 -0055-0004-132-2,09/03/13,"peoplestown revit ass- will redeem, too much",,"$17,770",9900,14500,24400,,,976 fern avenue se,30315
yes,n,Fulton,0913 31426,14 -0050-0012-041-0,09/03/13,likely condo off Ren and Cent Pk Pl,,"$5,638",12900,58300,71200,,,35 finch trail ne,30332
yes,,Fulton,0913 31443,14 -0075-0004-035-3,09/03/13,mech ville,,"$8,983",6900,20400,27300,,,727 FORMWALT ST,30315
yes,N,Fulton,0913 31600,14 -0145-0001-021-2,09/03/13,,OK BRICK RANCH ACROSS ST FROM PARTIALLY BUNED HOUSE IN OK MINUS NEIGH,"$12,945",6100,9400,15500,,,857 GERTRUDE PL,30318
yes,n,Fulton,0913 31455,14 -0141-0006-086-4,09/03/13,,OK OCCUPIED BRICK RANCH IN OK MINUS NEIGH,"$9,339",5500,18200,23700,,,1355 GIDEONS DR,30314
yes,,Fulton,0913 31425,14 -0050-0011-025-4,09/03/13,,,$812,11900,80900,92800,,,15 gilbert trail ne,30308
yes,,Fulton,0913 31417,14 -0048-0024-001-5,09/03/13,,,"$10,320",29500,93700,123200,,,885 GLENDALE TER # A 1,30309
yes,n,Fulton,0913 31432,14 -0067-0001-047-1,09/03/13,area e. of 75,,"$2,709",3900,7700,11600,,,174 GLENROSE CIR,30354
yes,n,Fulton,0913 31408,14 -0043-0003-069-2,09/03/13,likely bid up or redeem,,"$42,072",137300,202600,339900,,,787 grant street,30312
yes,,Fulton,0913 31613,14 -0252- LL-076-7,09/03/13,,vac lot on major rd in front of ok apt project,"$24,116",143500,0,143500,,,3397 greenbriar parkway sw,30331
yes,,Fulton,0913 31509,17 -0037- LL-230-5,09/03/13,,,"$3,336",6800,46900,53700,,,795 HAMMOND DR # #1602,30328
yes,n,Fulton,0913 31595,14 -0135-0001-037-0,09/03/13,drove as sideyard hut- no,,"$17,791",8600,35300,43900,,,1461 HAWTHORNE WAY,30344
yes,n,Fulton,0913 31578,14 -0054-0009-022-1,09/03/13,drove- confirm lot size/ buildable,,"$16,415",43400,0,43400,,,807 hill street se,30312
yes,p,Fulton,0913 31574,14 -0046-0012-007-8,09/03/13,drove as lot in 4th ward- confirm all but like,,"$14,492",83900,102900,186800,,,94 hogue street,30312
yes,,Fulton,0913 31616,17 -0252-0013-014-5,09/03/13,,,"$19,846",31300,24100,55400,,,1964 hollywood road nw,30318
yes,n,Fulton,0913 31581,14 -0087-0008-080-1,09/03/13,too much,,"$11,445",6200,10300,16500,,,1094 hubbard street sw,30310
yes,,Fulton,0913 31385,13 -0161-0003-150-8,09/03/13,drive 8/30,,"$5,645",11500,55600,67100,,,210 IMAD CT,30213
yes,,Fulton,0913 31599,14 -0143-0007-073-9,09/03/13,,CONDOS ONE BLDG PARTIALLY BURNED IN TOUGH COMMERCIAL AREA,"$17,658",14000,77200,91200,,,"1425 simpson road nw nka joesph e boone blvd nw, or",30314
yes,n,Fulton,0913-31569,14-0042-0003-126-1,09/03/13,not buildable,,"$9,176",16800,0,16800,,,0 kendrick ave se,30315
yes,p,Fulton,0913 31490,14F-0031- LL-135-3,09/03/13,pull additional comps but yes,ok sideboard ranch in ok plus neigh,"$2,896",5700,8400,14100,,,2010 KIMBERLY RD,30331
